0.03 40.27 7.66 0.18 17.24 60.78 116.7 2.45 0.2 35.34
0.03 110.29 35.63 22.38 2.76 0.55 0.35 2.45 0.03 419.8
0.16 0.88 0.88 1.14 2.04 0.55 0.35 2.65 0.03 26.81
0.24 0.07 1.03 0.21 190.23 0.55 103.63 2.65 62.36 26.8
0.35 4.87 4.76 47.61 10.96 0.55 9.95 2.65 64.63 21.51
6.45 1.54 4.41 9.01 292.94 86.04 10.73 0.55 845 21.51
3.94 0.52 1083.41 0.21 1.15 0.58 8.63 1.65 0.38 18.69
0.52 1.1 0.14 38.51 42.45 0.61 46.74 470.15 231.52 290.22
5.53 1.99 0.05 17.4 7.41 2.96 38.29 470.15 0.03 691.64
5.53 1.54 21.17 1.04 0.32 2.45 105.1 3.07 0.02 34.71
