31759658 23701050 74370326 0 10969 5472 23793313 3354 40336917 900
9563 23720513 2095 39759960 49930326 31637316 9134 3354 509 1787
11447 12666160 23269 7906986 16897 31637316 9134 6639 509 2620
13517 6596 76904 439700 20356 31637316 10347 6639 10406 3520
9532 24480 62969 37401916 33510 31637316 67395 6639 15729 1193
30665 41039 549263 299 3549 71158091 72594 10465 971103 3520
24562 6711023 1066604 3001 21424 529548 13839 11590 1396729 6864
29422 16557 958922 6679635 481503 8085422 5601 4086 8751 8343726
32808 6739 15080 12890 12797 1731383 7599 4086 509 8617874
32808 7814 44041 6699887 10317 58266066 12303 13086 778 15013
