182834 23699714 37395929 0 10969 5472 486915 3354 21112386 900
9563 23688130 2095 875811 34753504 31571502 9134 3354 509 1787
11447 4929096 23269 7893503 16897 31571502 9134 6639 509 2620
13517 6596 76904 439700 20356 31571502 10347 6639 10406 3520
9532 24480 62969 37235903 33510 31571502 67395 6639 15729 1193
30665 41039 549263 299 3549 8419254 72594 10465 971103 3520
24562 6711023 1066604 3001 21424 529548 13839 11590 1396729 6864
29422 16557 958922 6679635 481503 7242881 5601 4086 8751 8343726
32808 6739 15080 12890 12797 1731383 7599 4086 509 3281085
32808 7814 44041 6699887 10317 36009043 12303 13086 778 15013
